5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.96668253358e-06	1.03213579215e-07	5.01323804336e-07	1.03213579215e-07	1.09312647205e-05	1.49389014848e-07	5.01323804336e-07	1.49389014848e-07	8.24002095479e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.96668253358e-06	1.03213579215e-07	5.01323804336e-07	1.03213579215e-07	1.09312647205e-05	1.49389014848e-07	5.01323804336e-07	1.49389014848e-07	8.24002095479e-06	0.0	3.62545650389e-06
1	nan	nan	1	1	32.0	32.0	32.0	1.002	-1.09874400765e-20	1.03365027012e-18	-5.51626070996e-22	1.0	1.17717623936e-19	1.0149506116e-21	-1.88247695853e-20	1.0	481236052.166	-1174343.25866	-7735696.92034	-1171998.63479	146464704.319	521916.887836	-7720256.49568	521916.131147	184306546.716	0.001998002662673058	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	481236052.166	-1171999.2601397205	-7720256.40752495	-1171998.6347899998	146172359.5998004	520875.13756087824	-7720256.49568	520874.3823822355	183938669.3772455	0.00133200177512	318156557.023
2	nan	nan	1	1	32.0	32.0	32.0	1.004	3.38555718936e-20	-3.72347329089e-18	-3.55873779036e-21	1.0	1.46293581153e-18	2.48311348082e-20	1.04185466103e-20	1.0	835376079.139	-2874785.52795	-10440502.92	-2863332.87671	366875693.159	105762.383193	-10398907.4366	105762.290692	422197515.637	0.003992021269537457	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	835376079.139	-2863332.1991533865	-10398907.290836653	-2863332.87671	365414037.01095617	105341.01911653386	-10398907.436600002	105340.92698406435	420515453.82171315	0.00266134751303	445369457.799
3	nan	nan	1	1	32.0	32.0	32.0	1.006	-7.65866883623e-20	2.68668345675e-18	1.14346139157e-19	1.0	2.96602545154e-18	3.67929936464e-21	-3.10063482737e-20	1.0	1123330339.12	-4966432.41805	-10111821.2049	-4936807.14725	623955367.368	22017.6218516	-10051511.356	22017.9446143	688579890.193	0.005982071677547469	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	1123330339.12	-4936811.548757456	-10051512.132107357	-4936807.14725	620233963.5864812	21886.30402743537	-10051511.355999999	21886.62486511137	684473051.8817097	0.00398804778503	474647645.536
4	nan	nan	1	1	32.0	32.0	32.0	1.008	4.44415708791e-20	-1.82890460616e-18	1.10114153896e-19	1.0	-1.38960407888e-18	-4.93165081204e-21	-6.0630167551e-20	1.0	1403633849.25	-6160863.53608	-9820224.64329	-6111963.58563	886149257.844	-2555.90600795	-9742279.83383	-2562.83703072	957717430.577	0.007968169649176881	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	0.0	1403633849.25	-6111967.793730159	-9742286.352470238	-6111963.585630001	879116327.2261904	-2535.62103963299	-9742279.833830003	-2542.4970542870356	950116498.5882937	0.00531211309945	493270337.574
5	nan	nan	1	1	32.0	32.0	32.0	1.01	-1.27880054749e-19	1.7025097542e-18	-8.56932425105e-20	1.0	-2.93273122509e-18	-1.02090631201e-20	-9.95267848927e-20	1.0	1681306111.55	-6847813.84264	-9548023.67658	-6780006.67625	1150697515.01	-81273.65196	-9453473.05168	-81278.903867	1227585941.66	0.009950330853168092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1681306111.55	-6780013.705584159	-9453488.78869307	-6780006.67625	1139304470.3069308	-80468.96233663378	-9453473.051679999	-80474.16224455801	1215431625.4059408	0.00663355390211	508631605.185
6	nan	nan	1	1	32.0	32.0	32.0	1.012	-1.31435897407e-19	-8.22637736629e-19	-4.8156697504e-20	1.0	4.51113493609e-18	-2.25638327492e-20	-5.71273678496e-20	1.0	1957506253.46	-7297511.41003	-9302015.58142	-7210959.2994	1416678879.78	-194255.61112	-9191677.17199	-194258.652379	1497972303.17	0.011928570865273812	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	1957506253.46	-7210979.654179841	-9191715.001403162	-7210959.299399999	1399880315.9881423	-191952.18490118583	-9191677.171990002	-191955.1900978194	1480209785.7411067	0.00795238057685	522508641.638
7	nan	nan	1	1	32.0	32.0	32.0	1.014	1.31420387771e-20	-1.74883021414e-18	6.62096041803e-21	1.0	1.26824324133e-18	-2.38625063109e-20	-1.27431516062e-19	1.0	2232658936.86	-7618403.16048	-9093670.31772	-7513178.7519	1683720883.55	-305575.250446	-8968058.96173	-305565.609767	1768838946.42	0.013902905168991434	0.0	0.0	0.0	-4.440892098500627e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2232658936.8600006	-7513218.106982249	-8968116.684142012	-7513178.7519	1660474244.13215	-301356.2627672586	-8968058.961730005	-301346.75519427785	1744417106.923077	0.00926860344599	535557468.756
8	nan	nan	1	1	32.0	32.0	32.0	1.016	8.32722722657e-20	-9.67253392249e-18	6.14867130753e-20	1.0	-1.4646940046e-17	-2.62315515853e-20	-3.73248707802e-20	1.0	2506962655.41	-7873009.53459	-8940203.15836	-7748970.99512	1951634331.11	-415513.298366	-8799334.30617	-415480.300992	2040183944.24	0.015873349156290163	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-4.440892098500627e-16	2506962655.41	-7749025.132470473	-8799412.557440946	-7748970.99512	1920899932.194882	-408969.78185629926	-8799334.30617002	-408937.30412601365	2008055063.2283466	0.0105822327709	548087665.007
9	nan	nan	1	1	32.0	32.0	32.0	1.018	5.19932645826e-20	-1.58360452638e-17	1.14419344641e-19	1.0	2.21849178542e-18	-2.15695616529e-20	-5.83112287423e-19	1.0	2780515689.94	-8091080.30879	-8837757.73848	-7947947.13007	2220318229.22	-519973.061126	-8681411.07366	-519940.954839	2312013910.26	0.017839918128331016	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	2780515689.94	-7948016.020422397	-8681490.902239686	-7947947.13007	2181059164.263261	-510779.03843418596	-8681411.073660035	-510747.49984184175	2271133507.131631	0.0118932787522	560251958.886
