6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	4.23123167025e-06
1.0	0.00133200177512	312305661.485
2.0	0.00266134751303	443800334.427
3.0	0.00398804778503	472728390.815
4.0	0.00531211309945	491014602.452
5.0	0.00663355390211	506341728.769
6.0	0.00795238057685	520299703.5
7.0	0.00926860344599	533482476.061
8.0	0.0105822327709	546161011.344
9.0	0.0118932787522	558487203.739
10.0	0.0132017515308	570553763.296
