2	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.93641269631e-06	-9.71576656867e-07	-8.88827803681e-09	-9.71576656867e-07	2.07175072156e-06	1.48413955278e-07	-8.88827803681e-09	1.48413955278e-07	2.42286609761e-06
1	nan	nan	1	1	32.0	32.0	32.0	1.0002	2.91766958445e-22	4.26614135774e-20	-9.80338272846e-24	1.0	1.95864607578e-20	-4.58826746026e-25	-5.08586829749e-24	1.0	32740440.0476	49601.2058683	130295.496232	49591.2793332	15175630.2126	-103738.732981	130269.444377	-103738.732177	15130770.9801
2	nan	nan	1	1	32.0	32.0	32.0	1.0004	2.08855834528e-22	1.0297002759e-20	-2.64180808134e-23	1.0	-5.9116982792e-20	2.4231222069e-22	5.76596585738e-22	1.0	65500793.6772	99210.5319281	260597.330408	99170.858545	30354365.9257	-207550.357086	260493.138419	-207550.360857	30264466.0522
3	nan	nan	1	1	32.0	32.0	32.0	1.0006	-1.20967732885e-21	-5.41211867084e-20	-1.56711951988e-23	1.0	-6.78009962813e-20	3.68483113498e-23	-1.76267018656e-22	1.0	98281018.1884	148853.250615	391018.610292	148763.99443	45536088.1136	-311329.488281	390784.141494	-311329.488251	45401257.1795
4	nan	nan	1	1	32.0	32.0	32.0	1.0008	2.00605031035e-22	-3.23219273391e-20	-7.27660445105e-24	1.0	-1.28267537167e-19	1.28729982829e-22	-3.01957112734e-21	1.0	131081158.823	198526.583649	521527.515854	198367.891601	60720803.6159	-415127.399779	521110.625178	-415127.396129	60541086.283
5	nan	nan	1	1	32.0	32.0	32.0	1.001	1.26670917026e-21	1.11428362944e-19	-4.07102108347e-22	1.0	2.04594542516e-19	-6.27881783716e-23	-4.41947091651e-21	1.0	163901204.163	248223.143725	652132.475687	247975.169006	75908529.849	-518922.334446	651480.991155	-518922.332283	75683959.1182
6	nan	nan	1	1	32.0	32.0	32.0	1.0012	2.63332140213e-21	-2.11871353762e-19	-6.37226339698e-22	1.0	-3.41125975894e-19	8.23432450402e-22	-3.74190659725e-21	1.0	196741140.642	297947.744873	782817.960899	297590.634657	91099282.7253	-622737.813154	781879.706314	-622737.811558	90829872.8117
7	nan	nan	1	1	32.0	32.0	32.0	1.0014	2.26719866143e-21	1.64656194591e-19	-5.97806013631e-22	1.0	-2.27648169586e-19	1.41499583535e-21	-6.02807871398e-21	1.0	229601006.563	347697.411882	913591.292934	347211.314492	106293036.541	-726555.584813	912314.052746	-726555.582369	105978817.674
8	nan	nan	1	1	32.0	32.0	32.0	1.0016	-9.5083280502e-22	-3.15177526874e-20	-1.11048997235e-21	1.0	-1.13025178248e-18	-5.96593677046e-21	-4.19282342867e-21	1.0	262480775.35	397473.980382	1044448.95005	396839.036949	121489811.488	-830385.939324	1042780.50093	-830385.936732	121130804.823
9	nan	nan	1	1	32.0	32.0	32.0	1.0018	6.72519809991e-21	1.90751778363e-19	-1.22518373416e-21	1.0	2.98415745736e-19	5.16729388904e-21	-6.315730772e-21	1.0	295380461.882	447276.789589	1175394.04494	446473.136942	136689598.423	-934223.084106	1173282.13513	-934223.08082	136285831.362
10	nan	nan	1	1	32.0	32.0	32.0	1.002	-1.87237178413e-21	4.187732132e-19	1.75233042891e-21	1.0	-3.00851482447e-19	3.7760794963e-22	3.18252570801e-21	1.0	328300065.593	497106.155844	1306424.60305	496113.926951	151892401.233	-1038071.26574	1303816.96764	-1038071.26219	151443897.453
11	nan	nan	1	1	32.0	32.0	32.0	1.0022	-1.43796948439e-21	1.03843737112e-19	2.27590990726e-21	1.0	2.19113733616e-19	-1.13747673984e-21	1.3984522231e-21	1.0	361239586.661	546961.607622	1437542.7655	545760.932342	167098221.569	-1141927.29225	1434387.11122	-1141927.28832	166605004.312
12	nan	nan	1	1	32.0	32.0	32.0	1.0024	-8.90306771753e-21	5.25237044902e-19	2.13813263648e-21	1.0	5.88325386438e-19	-4.26468474438e-21	3.75633055918e-21	1.0	394198964.935	596843.782816	1568750.32433	595414.785919	182307099.723	-1245794.79802	1564994.33588	-1245794.7938	181769173.759
13	nan	nan	1	1	32.0	32.0	32.0	1.0026	-1.18309381191e-20	6.11894864017e-19	2.13017102308e-21	1.0	1.73112358595e-19	-1.78360819582e-22	-4.18786034499e-21	1.0	427177964.327	646755.15877	1700062.14637	645077.954334	197519183.394	-1349675.6382	1695653.44279	-1349675.63336	196936489.991
14	nan	nan	1	1	32.0	32.0	32.0	1.0028	6.06400937184e-21	3.54385060728e-19	-9.47897283197e-23	1.0	4.8493887341e-19	3.7558135713e-21	-3.46433580295e-21	1.0	460175535.743	696709.549902	1831534.30137	694764.207546	212735121.203	-1453595.23202	1826420.31838	-1453595.22589	212107324.726
15	nan	nan	1	1	32.0	32.0	32.0	1.003	5.72134010957e-21	-6.80319037492e-19	-1.4465320962e-22	1.0	-2.85760606147e-19	6.97406314201e-21	-1.11400548996e-21	1.0	493187835.851	746749.748472	1963371.9594	744516.191898	227957277.104	-1557633.00884	1957499.45644	-1557632.99867	227283034.076
16	nan	nan	1	1	32.0	32.0	32.0	1.0032	1.19251042308e-20	-3.13246060143e-19	-5.94432667696e-22	1.0	5.52017327426e-19	-5.02460523338e-21	-1.83985647747e-21	1.0	526202318.642	797028.359126	2096235.53625	794485.973618	243193313.897	-1662045.72305	2089548.98164	-1662045.69852	242468054.141
17	nan	nan	1	1	32.0	32.0	32.0	1.0034	7.69857642338e-21	-8.61440985959e-19	-8.12291361527e-22	1.0	8.04905672633e-19	3.74857574094e-21	1.01526080433e-21	1.0	559183753.23	848049.981152	2231907.1447	845176.266597	258464425.024	-1767451.82118	2224344.38982	-1767451.77036	257675072.104
18	nan	nan	1	1	32.0	32.0	32.0	1.0036	-1.66373550789e-20	-2.15235704109e-19	1.3525436991e-21	1.0	3.5558261146e-19	-3.08021380599e-21	1.53628119266e-20	1.0	592053156.038	901397.228236	2374144.08118	898163.453665	273816685.13	-1874690.78994	2365627.83024	-1874690.68928	272933703.882
19	nan	nan	1	1	32.0	32.0	32.0	1.0038	3.66939258433e-21	-1.1002267289e-19	2.46112081629e-21	1.0	-2.5213602444e-19	5.12696883418e-21	-2.75192650039e-21	1.0	624679952.891	961422.591393	2528785.03648	957782.068965	289322241.273	-1983579.76402	2519211.94375	-1983579.62309	288296423.257
20	nan	nan	1	1	32.0	32.0	32.0	1.004	-1.04582771291e-21	1.84365737239e-19	2.85604785999e-21	1.0	-7.99354670337e-19	-7.90309036748e-21	1.23810326135e-20	1.0	656917750.149	1037536.16961	2701828.99878	1033400.90328	305054745.373	-2093157.48918	2691064.46685	-2093157.5469	303828526.307
21	nan	nan	1	1	32.0	32.0	32.0	1.0042	1.36227922717e-20	1.15215568019e-18	2.69578161631e-21	1.0	-2.41119488285e-18	-5.78674877027e-21	6.93797738779e-23	1.0	688665841.754	1144748.93497	2896309.42106	1139958.87883	321053558.407	-2207095.81647	2884195.323	-2207096.63201	319585292.128
22	nan	nan	1	1	32.0	32.0	32.0	1.0044	1.21634970371e-20	1.05907449343e-19	3.30629260716e-21	1.0	1.7267225715e-18	-4.33277204855e-21	2.42263623829e-20	1.0	719890521.774	1300063.37397	3111485.08657	1294365.50955	337314648.968	-2339832.61189	3097854.11551	-2339834.46373	335601131.988
23	nan	nan	1	1	32.0	32.0	32.0	1.0046	9.22978467244e-21	-4.13792965527e-20	2.63467364856e-21	1.0	-2.94621881857e-19	4.81419116506e-21	3.40018794645e-20	1.0	750596303.716	1515458.15013	3344536.29351	1508516.08792	353812128.611	-2514714.56772	3329221.98872	-2514717.3735	351895969.024
24	nan	nan	1	1	32.0	32.0	32.0	1.0048	-9.2030693236e-21	-1.30066086313e-19	2.33668183289e-21	1.0	2.56501056532e-19	1.69148095509e-21	1.17569248414e-20	1.0	780802559.535	1792162.30771	3590252.43349	1783597.44515	370517032.571	-2756386.17347	3573102.90637	-2756388.88791	368478573.18
25	nan	nan	1	1	32.0	32.0	32.0	1.005	1.77522006742e-20	-1.21507910259e-18	1.89868969854e-21	1.0	4.58073598078e-19	-1.16880620554e-21	-1.69737461696e-20	1.0	810544269.226	2118707.97591	3840597.9547	2108164.40511	387400451.767	-3078624.26631	3821493.2478	-3078626.96913	385343048.903
26	nan	nan	1	1	32.0	32.0	32.0	1.0052	-3.41095938898e-20	-3.88584015974e-19	1.83685794775e-21	1.0	-1.1603513857e-18	-7.01862749751e-22	3.1539569576e-20	1.0	839871974.886	2476479.83848	4085852.34538	2463667.10557	404433563.213	-3484052.443	4064720.11498	-3484052.76298	402468050.203
27	nan	nan	1	1	32.0	32.0	32.0	1.0054	-9.13440040806e-22	-4.62808173109e-19	1.87418447289e-21	1.0	-6.74304193668e-19	-1.22298653566e-21	6.92794782286e-21	1.0	868834105.958	2846291.24981	4319929.91886	2831007.83445	421593074.287	-3959948.36187	4296731.97921	-3959949.29891	419830304.1
28	nan	nan	1	1	32.0	32.0	32.0	1.0056	-1.30902365912e-20	3.64213413971e-19	9.04521999827e-22	1.0	3.20879489631e-19	-2.75885413802e-21	-2.56332932073e-21	1.0	897469488.978	3215884.60096	4536980.28484	3197978.30425	438860755.669	-4500065.35536	4511720.60372	-4500061.9885	437409624.043
29	nan	nan	1	1	32.0	32.0	32.0	1.0058	-1.84424053472e-20	2.77929377095e-19	-1.3114948612e-21	1.0	-3.07274209032e-18	-8.70297401982e-21	3.40976256204e-20	1.0	925819218.671	3577260.72707	4738792.92559	3556637.24303	456220863.913	-5087031.03189	4711471.96769	-5087028.09539	455182848.57
30	nan	nan	1	1	32.0	32.0	32.0	1.006	3.52735662587e-20	-2.54954849172e-19	-1.37187904592e-21	1.0	-4.88566039716e-18	-3.34697955354e-21	3.78124937513e-22	1.0	953930101.729	3929269.55173	4927120.53245	3905836.08325	473656896.689	-5714575.92785	4897740.55012	-5714567.6306	473120292.142
31	nan	nan	1	1	32.0	32.0	32.0	1.0062	-5.3696636259e-20	3.26337227313e-19	-2.15997537453e-21	1.0	-5.90997572728e-18	8.78465810531e-22	5.83163365826e-20	1.0	981835821.492	4272839.16217	5108650.92229	4246515.08635	491160556.847	-6369986.54462	5077178.27656	-6369978.89215	491198847.164
32	nan	nan	1	1	32.0	32.0	32.0	1.0064	-1.0210303891e-20	8.96222483151e-19	-2.76958680647e-20	1.0	6.18191486917e-18	-2.15811421815e-21	2.56767201894e-21	1.0	1009570390.89	4611196.81095	5288700.23984	4581874.7378	508724161.402	-7049644.54193	5255073.67582	-7049633.13283	509392489.953
33	nan	nan	1	1	32.0	32.0	32.0	1.0066	-2.14123973365e-20	3.67541575166e-19	7.09141939142e-21	1.0	-6.10428438227e-18	1.90152279214e-20	-7.31597824821e-20	1.0	1037146191.63	4946223.63748	5474207.77041	4913797.2215	526350204.6	-7745283.57608	5438319.92344	-7745274.29497	527687432.462
34	nan	nan	1	1	32.0	32.0	32.0	1.0068	8.26518868063e-21	1.31850521689e-19	1.6580008198e-20	1.0	-1.60392347367e-18	-4.26399198062e-20	-2.98756957739e-21	1.0	1064571907.89	5279604.58977	5670007.7963	5243947.36373	544043101.646	-8454708.59719	5631716.7624	-8454697.57732	546069731.341
35	nan	nan	1	1	32.0	32.0	32.0	1.007	8.35956998852e-20	-5.30604930089e-19	-5.78612838481e-22	1.0	5.3858598223e-19	-1.88320074157e-20	6.20583982762e-20	1.0	1091838151.73	5611317.13006	5880910.57405	5572314.1114	561815026.517	-9171962.75062	5840034.35942	-9171954.64081	564536168.686
36	nan	nan	1	1	32.0	32.0	32.0	1.0072	1.79849744684e-20	-7.05651236957e-20	-1.61738625172e-20	1.0	-4.84884424246e-18	5.8514756532e-21	2.65504297114e-20	1.0	1118934118.71	5941520.20985	6109249.2979	5899046.00026	579678308.962	-9895796.55889	6065581.88219	-9895786.80877	583083249.155
37	nan	nan	1	1	32.0	32.0	32.0	1.0074	-1.35971949091e-20	-4.55865025842e-19	-3.08712076411e-20	1.0	1.4187355189e-18	2.95878369207e-20	-8.77760639059e-20	1.0	1145838201.52	6269747.40161	6356805.52946	6223692.15803	597648478.044	-10621487.4324	6310116.95904	-10621480.1543	601715683.18
38	nan	nan	1	1	32.0	32.0	32.0	1.0076	1.58487805365e-21	-5.06000442769e-19	2.42293609126e-20	1.0	-3.46266076221e-19	2.45474118581e-20	1.01866051665e-19	1.0	1172534349.1	6596523.69069	6623264.26411	6546763.93191	615737296.22	-11348146.0443	6573316.26722	-11348136.7467	620435384.411
39	nan	nan	1	1	32.0	32.0	32.0	1.0078	6.86923867889e-20	8.83299854031e-19	1.70060062135e-20	1.0	7.82503760488e-19	-3.70576914424e-22	-1.67483394527e-20	1.0	1199003643.86	6922192.71221	6908134.42662	6868615.49038	633955463.389	-12071091.7415	6854679.81545	-12071085.098	639249240.009
40	nan	nan	1	1	32.0	32.0	32.0	1.008	-9.38849995248e-22	-3.95370826104e-19	1.18017993896e-20	1.0	-5.4013686316e-18	2.90836703374e-20	-3.57126957664e-20	1.0	1225238432.58	7247996.54973	7209514.51039	7190467.28509	652307416.975	-12789035.234	7152310.95599	-12789026.8208	658158584.291
41	nan	nan	1	1	32.0	32.0	32.0	1.0082	6.82341287295e-21	-8.411260505e-19	6.53720838101e-21	1.0	6.47801285483e-18	4.33856231284e-21	-4.14119701869e-20	1.0	1251231717.33	7574763.29556	7525752.99078	7513153.93203	670795330.646	-13497092.3927	7464559.93486	-13497087.2635	677167668.157
